region,Resource,technology,cluster,R_ID,Zone,Num_VRE_Bins,CapRes_1,CapRes_2,CapRes_3,CapRes_4,CapRes_5,THERM,VRE,MUST_RUN,STOR,FLEX,LDS,HYDRO,HYDRO_WD,HYDRO_LRES,HYDRO_SRES,HYDRO_RoR,ESR_1,ESR_2,MinCapTag_1,MinCapTag_2,Min_Share,Max_Share,Existing_Cap_MWh,Existing_Cap_MW,Existing_Charge_Cap_MW,num_units,unmodified_existing_cap_mw,New_Build,Cap_Size,Min_Cap_MW,Max_Cap_MW,Max_Cap_MWh,Min_Cap_MWh,Max_Charge_Cap_MW,Min_Charge_Cap_MW,Min_Share_percent,Max_Share_percent,capex_mw,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,capex_mwh,Inv_Cost_per_MWhyr,Fixed_OM_Cost_per_MWhyr,Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh_In,Inv_Cost_Charge_per_Mwyr,Fixed_OM_Cost_Charge_per_MWyr,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,heat_rate_mmbtu_mwh_iqr,heat_rate_mmbtu_mwh_std,Fuel,Min_Power,Self_Disch,Eff_Up,Eff_Down,Hydro_Energy_to_Power_Ratio,Ratio_power_to_energy,Min_Duration,Max_Duration,Max_Flexible_Demand_Delay,Max_Flexible_Demand_Advance,Flexible_Demand_Energy_Eff,Ramp_Up_Percentage,Ramp_Dn_Percentage,Up_Time,Down_Time,wRamp_Up_Percentage,wRamp_Dn_Percentage,Hydro_productivity_factor_MW_per_m3_per_s,pW_Spill_Max_m3_per_s,pW_Discharge_Max_m3_per_s,pW_lvl_Max_Billion_m3,pW_lvl_Min_Billion_m3,pW_lvl_0_Billion_m3,NACC_Eff,NACC_Peak_to_Base,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,spur_miles,spur_capex,offshore_spur_miles,offshore_spur_capex,tx_miles,tx_capex,interconnect_annuity,CO2_Capture_Cost_per_Metric_Ton,co2_pipeline_annuity_mw,co2_pipeline_capex_mw,storage_cost_tonne,tonne_co2_captured_mwh,co2_cost_mwh,Commit,Hydro_level,Hydro_min_level,MinCapTag_3,SL_Ramp_Up_Percentage,SL_Ramp_Dn_Percentage
NE,NE_other_peaker_1,Other_peaker,1,11,1,0,0.9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2325,0,207,0,0,2325,0,0,-1,-1,-1,0,0,0,0,0,21000,0,0,0,8,0,0,0,87,0,15.48,4.268,4.327,new_england_naturalgas,0,0,1,1,0,1,0,0,0,0,0,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
NE,NE_small_hydroelectric_1,Small Hydroelectric,1,12,1,1,0.8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,741,0,444,0,-1,741,0,0,-1,-1,-1,0,0,0,0,0,12657.6,0,0,0,0,0,0,0,0,0,10.34,0,0,None,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
NE,NE_solar_photovoltaic_1,Solar Photovoltaic,1,13,1,1,0.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,2603,0,732,0,-1,2603,0,0,-1,-1,-1,0,0,0,0,0,16217.21,0,0,0,0,0,0,0,0,0,0,0,0,None,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
NY,NY_batteries_1,Batteries,1,14,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,494.2,0,0,40,0,0,1,0,0,-1,-1,-1,0,0,0,0,0,4826.7,0,0,0,0,0,0,0,0,0,0,0,0,None,0,0,0.92,0.92,0,0.25,0,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
NY,NY_biomass_1,Biomass,1,15,2,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,114,0,0,1,0,0,-1,-1,-1,0,0,0,0,0,150850,0,0,0,4,0,0,0,0,0,16.06,2.046,2.904,middle_atlantic_bio,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
NY,NY_conventional_hydroelectric_1,Conventional Hydroelectric,1,16,2,0,0,0.8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3333,0,71,0,-1,3333,0,0,-1,-1,-1,0,0,0,0,0,47048,0,0,0,0,0,0,0,0,0,10.34,0,0,None,0,0,1,1,1000,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.095,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0,0.05,0.05
NY,NY_hydroelectric_pumped_storage_1,Hydroelectric Pumped Storage,1,17,2,0,0,0.95,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21779,1407,0,16,0,0,1407,0,0,-1,-1,-1,0,0,0,0,0,40113,0,0,0,0.51,0,0,0,0,0,10.34,0,0,None,0,0,0.866,0.866,158.730159,1,0,200,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
NY,NY_natural_gas_fired_combined_cycle_1,Natural Gas Fired Combined Cycle,1,18,2,0,0,0.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10843,0,55,0,0,10843,0,0,-1,-1,-1,0,0,0,0,0,28000,0,0,0,2,0,0,0,92,2,6.36,1.956,1.505,middle_atlantic_naturalgas,0,0,1,1,0,1,0,0,0,0,0,1,1,6,6,0,0,0,0,0,0,0,0,0,0,0.106666667,0.213333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
NY,NY_natural_gas_fired_combustion_turbine_1,Natural Gas Fired Combustion Turbine,1,19,2,0,0,0.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12004,0,97,0,0,12004,0,0,-1,-1,-1,0,0,0,0,0,21343,0,0,0,5,0,0,0,119,3.5,12.02,6.759,3.537,middle_atlantic_naturalgas,0,0,1,1,0,1,0,0,0,0,0,3.78,3.78,1,1,0,0,0,0,0,0,0,0,0,0,0.63,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
NY,NY_nuclear_1,Nuclear,1,20,2,0,0,0.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3305,0,4,0,-1,3305,0,0,-1,-1,-1,0,0,0,0,0,146000,0,0,0,2.84,0,0,0,248,0,10.45,0,0,middle_atlantic_uranium,0.6,0,1,1,0,1,0,0,0,0,0,0.25,0.25,24,24,0,0,0,0,0,0,0,0,0,0,0.041666667,0.083333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
