Resource,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
AT_onshore_wind_turbine_1,5,1178.0,0.0,0.0,1178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT_small_hydroelectric_1,5,571.0,0.0,0.0,571.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT_solar_photovoltaic_1,5,31.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT_nuclear_1,5,660.0,0.0,0.0,660.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NY_naturalgas_ccavgcf_moderate_1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE_naturalgas_ccavgcf_moderate_1,1,0.0,0.0,3678.1033544649986,3678.1033544649986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QC_naturalgas_ccavgcf_moderate_1,3,0.0,0.0,12944.01540603433,12944.01540603433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ON_naturalgas_ccavgcf_moderate_1,4,0.0,0.0,813.8730728696469,813.8730728696469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT_naturalgas_ccavgcf_moderate_1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ON_biomass_1,4,478.0,0.0,0.0,478.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT_biomass_1,5,186.0,0.0,0.0,186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT_other_peaker_1,5,1606.0,1606.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE_batteries_pld_1,1,710.0,0.0,0.0,710.0,2840.0,0.0,0.0,2840.0,0.0,0.0,0.0,0.0
NE_solar_photovoltaic_pld1,1,6440.0,0.0,0.0,6440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NY_solar_photovoltaic_pld_1,2,4262.0,0.0,0.0,4262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NY_onshore_wind_turbine_pld_1,2,3215.0,0.0,0.0,3215.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NY_offshore_wind_turbine_pld_1,2,2000.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QC_conventional_hydroelectric_pld_1,3,2000.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QC_onshore_wind_turbine_pld1,3,3000.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT_natural_gas_fired_combined_cycle_pld_1,5,830.0,0.0,0.0,830.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT_onshore_wind_turbine_pld_1,5,560.0,0.0,0.0,560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT_solar_photovoltaic_pld_1,5,200.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT_nuclear_pld_1,5,600.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT_battery_pld_1,5,150.0,0.0,0.0,150.0,600.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0
AT_small_hydroelectric_pld_1,5,154.0,0.0,0.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ON_nuclear_SMR_upld_1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ON_hydroelectric_pumped_storage_upld_1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ON_Battery_upld_1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ON_naturalgas_ccavgcf_moderate_upld_1,4,0.0,0.0,909.5343371511018,909.5343371511018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,n/a,194716.0,11048.145948197027,18345.526170520076,202013.38022232306,53813.5,0.0,0.0,53813.5,0.0,0.0,0.0,0.0
