Resource,NE_batteries_1,NE_biomass_1,NE_conventional_hydroelectric_1,NE_conventional_steam_coal_1,NE_hydroelectric_pumped_storage_1,NE_natural_gas_fired_combined_cycle_1,NE_natural_gas_fired_combustion_turbine_1,NE_nuclear_1,NE_offshore_wind_turbine_1,NE_onshore_wind_turbine_1,NE_other_peaker_1,NE_small_hydroelectric_1,NE_solar_photovoltaic_1,NY_batteries_1,NY_biomass_1,NY_conventional_hydroelectric_1,NY_hydroelectric_pumped_storage_1,NY_natural_gas_fired_combined_cycle_1,NY_natural_gas_fired_combustion_turbine_1,NY_nuclear_1,NY_onshore_wind_turbine_1,NY_other_peaker_1,NY_small_hydroelectric_1,NY_solar_photovoltaic_1,QC_conventional_hydroelectric_1,QC_conventional_steam_coal_1,QC_hydroelectric_pumped_storage_1,QC_natural_gas_fired_combustion_turbine_1,QC_onshore_wind_turbine_1,QC_other_peaker_1,QC_small_hydroelectric_1,QC_solar_photovoltaic_1,ON_conventional_hydroelectric_1,ON_conventional_steam_coal_1,ON_hydroelectric_pumped_storage_1,ON_natural_gas_fired_combustion_turbine_1,ON_natural_gas_fired_combined_cycle_1,ON_onshore_wind_turbine_1,ON_small_hydroelectric_1,ON_solar_photovoltaic_1,ON_nuclear_1,AT_conventional_hydroelectric_1,AT_conventional_steam_coal_1,AT_hydroelectric_pumped_storage_1,AT_natural_gas_fired_combustion_turbine_1,AT_natural_gas_fired_combined_cycle_1,AT_onshore_wind_turbine_1,AT_small_hydroelectric_1,AT_solar_photovoltaic_1,AT_nuclear_1,NY_naturalgas_ccavgcf_moderate_1,NE_naturalgas_ccavgcf_moderate_1,QC_naturalgas_ccavgcf_moderate_1,ON_naturalgas_ccavgcf_moderate_1,AT_naturalgas_ccavgcf_moderate_1,ON_biomass_1,AT_biomass_1,AT_other_peaker_1,NE_batteries_pld_1,NE_solar_photovoltaic_pld1,NY_solar_photovoltaic_pld_1,NY_onshore_wind_turbine_pld_1,NY_offshore_wind_turbine_pld_1,QC_conventional_hydroelectric_pld_1,QC_onshore_wind_turbine_pld1,AT_natural_gas_fired_combined_cycle_pld_1,AT_onshore_wind_turbine_pld_1,AT_solar_photovoltaic_pld_1,AT_nuclear_pld_1,AT_battery_pld_1,AT_small_hydroelectric_pld_1,ON_nuclear_SMR_upld_1,ON_hydroelectric_pumped_storage_upld_1,ON_Battery_upld_1,ON_naturalgas_ccavgcf_moderate_upld_1
t7541,565.28,0.0,1170.5579999999998,0.0,5844.450740610116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4005.7102489139997,4873.848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1078661880704695e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648424.3431138424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,758407.9599004661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2612.8,0.0,0.0,0.0,0.0,9.5517318652444e6,0.0,0.0,0.0,0.0,0.0,414.0,0.0,0.0,0.0,0.0,0.0
t7542,741.0,0.0,1227.0,0.0,6986.739673024372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4005.7102489139997,5459.134779499971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1079274809504695e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,650220.0711138424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,760547.6799004661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2840.0,0.0,0.0,0.0,0.0,9.5522598652444e6,0.0,0.0,0.0,0.0,0.0,414.0,0.0,0.0,0.0,0.0,0.0
t7543,741.0,0.0,1227.0,0.0,6986.739673024372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4005.7102489139997,5459.134779499971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1079747622751355e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,652015.7991138424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,761326.1741798891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2840.0,0.0,0.0,0.0,0.0,9.5523038652444e6,0.0,0.0,0.0,0.0,0.0,326.0869565217391,0.0,0.0,0.0,0.0,0.0
t7544,741.0,0.0,1013.5020000000001,0.0,6986.739673024372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4005.7102489139997,5459.134779499971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1079960210798852e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,653715.0242001256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,761764.4043414261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2840.0,0.0,0.0,0.0,0.0,9.5513478652444e6,0.0,0.0,0.0,0.0,0.0,326.0869565217391,0.0,0.0,0.0,0.0,0.0
t7545,741.0,0.0,1227.0,0.0,6986.739673024372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4005.7102489139997,5459.134779499971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1080120398215841e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,654958.2856621178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,761947.9629108871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2840.0,0.0,0.0,0.0,0.0,9.5513918652444e6,0.0,0.0,0.0,0.0,0.0,326.0869565217391,0.0,0.0,0.0,0.0,0.0
t7546,741.0,0.0,1013.5020000000001,0.0,6986.739673024372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3172.4602489139993,5459.134779499971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1080289856959839e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,655777.2046284568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,761924.1847021041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2840.0,0.0,0.0,0.0,0.0,9.5519198652444e6,0.0,0.0,0.0,0.0,0.0,326.0869565217391,0.0,0.0,0.0,0.0,0.0
t7547,741.0,0.0,1227.0,0.0,6986.739673024372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4005.7102489139997,5459.134779499971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.108020259002665e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,655658.7464264489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,761872.2066236691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2840.0,0.0,0.0,0.0,0.0,9.5524478652444e6,0.0,0.0,0.0,0.0,0.0,326.0869565217391,0.0,0.0,0.0,0.0,0.0
t7548,741.0,0.0,1013.5020000000001,0.0,6986.739673024372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4005.7102489139997,5459.134779499971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1080222335357974e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,655186.354166353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,762032.9678155461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2840.0,0.0,0.0,0.0,0.0,9.5519758652444e6,0.0,0.0,0.0,0.0,0.0,163.04347826086956,0.0,0.0,0.0,0.0,0.0
t7549,741.0,0.0,1227.0,0.0,6986.739673024372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4005.7102489139997,5459.134779499971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.108020910106283e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,654148.9068649771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,762143.978052139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2840.0,0.0,0.0,0.0,0.0,9.5510198652444e6,0.0,0.0,0.0,0.0,0.0,163.04347826086956,0.0,0.0,0.0,0.0,0.0
t7550,741.0,0.0,1227.0,0.0,6986.739673024372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4005.7102489139997,5459.134779499971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1080290058459282e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,652486.7991027642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,762443.3801646321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2840.0,0.0,0.0,0.0,0.0,9.5500638652444e6,0.0,0.0,0.0,0.0,0.0,163.04347826086956,0.0,0.0,0.0,0.0,0.0
