Resource,NE_batteries_1,NE_biomass_1,NE_conventional_hydroelectric_1,NE_conventional_steam_coal_1,NE_hydroelectric_pumped_storage_1,NE_natural_gas_fired_combined_cycle_1,NE_natural_gas_fired_combustion_turbine_1,NE_nuclear_1,NE_offshore_wind_turbine_1,NE_onshore_wind_turbine_1,NE_other_peaker_1,NE_small_hydroelectric_1,NE_solar_photovoltaic_1,NY_batteries_1,NY_biomass_1,NY_conventional_hydroelectric_1,NY_hydroelectric_pumped_storage_1,NY_natural_gas_fired_combined_cycle_1,NY_natural_gas_fired_combustion_turbine_1,NY_nuclear_1,NY_onshore_wind_turbine_1,NY_other_peaker_1,NY_small_hydroelectric_1,NY_solar_photovoltaic_1,QC_conventional_hydroelectric_1,QC_conventional_steam_coal_1,QC_hydroelectric_pumped_storage_1,QC_natural_gas_fired_combustion_turbine_1,QC_onshore_wind_turbine_1,QC_other_peaker_1,QC_small_hydroelectric_1,QC_solar_photovoltaic_1,ON_conventional_hydroelectric_1,ON_conventional_steam_coal_1,ON_hydroelectric_pumped_storage_1,ON_natural_gas_fired_combustion_turbine_1,ON_natural_gas_fired_combined_cycle_1,ON_onshore_wind_turbine_1,ON_small_hydroelectric_1,ON_solar_photovoltaic_1,ON_nuclear_1,AT_conventional_hydroelectric_1,AT_conventional_steam_coal_1,AT_hydroelectric_pumped_storage_1,AT_natural_gas_fired_combustion_turbine_1,AT_natural_gas_fired_combined_cycle_1,AT_onshore_wind_turbine_1,AT_small_hydroelectric_1,AT_solar_photovoltaic_1,AT_nuclear_1,NY_naturalgas_ccavgcf_moderate_1,NE_naturalgas_ccavgcf_moderate_1,QC_naturalgas_ccavgcf_moderate_1,ON_naturalgas_ccavgcf_moderate_1,AT_naturalgas_ccavgcf_moderate_1,ON_biomass_1,AT_biomass_1,AT_other_peaker_1,NE_batteries_pld_1,NE_solar_photovoltaic_pld1,NY_solar_photovoltaic_pld_1,NY_onshore_wind_turbine_pld_1,NY_offshore_wind_turbine_pld_1,QC_conventional_hydroelectric_pld_1,QC_onshore_wind_turbine_pld1,AT_natural_gas_fired_combined_cycle_pld_1,AT_onshore_wind_turbine_pld_1,AT_solar_photovoltaic_pld_1,AT_nuclear_pld_1,AT_battery_pld_1,AT_small_hydroelectric_pld_1,ON_nuclear_SMR_upld_1,ON_hydroelectric_pumped_storage_upld_1,ON_Battery_upld_1,ON_naturalgas_ccavgcf_moderate_upld_1,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,2,1,3,4,5,4,5,5,1,1,2,2,2,3,3,5,5,5,5,5,5,4,4,4,4,0
t9,191.0,0.0,0.0,0.0,1778.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1407.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,3526.0
t10,1.1339555701111876,0.0,0.0,0.0,1778.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1407.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,667.1898057801221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.575156030001644,0.0,0.0,0.0,0.0,0.0,3900.898917380235
t11,0.0,0.0,0.0,0.0,1778.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,755.6126719749692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2533.612671974969
t12,0.0,0.0,0.0,0.0,1778.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,710.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2488.0
t13,0.0,0.0,0.0,0.0,1625.4801156332644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1625.4801156332644
t14,0.0,0.0,0.0,0.0,1286.1491156332645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1407.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2693.1491156332645
t15,191.0,0.0,0.0,0.0,124.26411563326508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1407.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1722.2641156332652
t16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
